system,category,rag_tier,episodic,semantic,graph,fusion,consolidation,forgetting,contradiction,preference
episodic-memory,Coding Agent Memory (25),Advanced,1,0,0,0,0,0,0,0
Focus,Coding Agent Memory (25),Advanced,1,0,0,0,1,0,0,0
IronClaw,Coding Agent Memory (25),Advanced,1,1,0,1,0,0,0,0
Mastra,Coding Agent Memory (25),Advanced,1,1,0,0,0,0,0,0
Memori,Coding Agent Memory (25),Advanced,1,1,0,0,1,0,0,0
MemoryMesh,Coding Agent Memory (25),Naive,1,0,0,0,0,0,0,0
Nanobot,Coding Agent Memory (25),Naive,1,0,0,0,0,0,0,0
OpenFang,Coding Agent Memory (25),Advanced,1,1,1,1,0,1,0,0
Memsearch,Coding Agent Memory (25),Advanced,1,0,0,0,0,1,0,0
MemPalace,Coding Agent Memory (25),Advanced,1,0,1,0,0,0,0,0
QMD,Coding Agent Memory (25),Modular,1,1,0,1,0,0,0,0
Claude Code,File-Based Memory (4),Naive,1,0,0,0,0,0,0,1
Claudesidian,File-Based Memory (4),Advanced,1,0,1,0,0,0,0,0
Cursor Rules,File-Based Memory (4),Naive,1,0,0,0,0,0,0,1
Windsurf Memory,File-Based Memory (4),Naive,1,0,0,0,0,0,0,1
A-MEM,Research Architectures (42),Advanced,0,1,1,1,0,0,0,0
AgeMem,Research Architectures (42),Advanced,1,0,0,0,0,1,0,0
AriadneMem,Research Architectures (42),Modular,0,1,1,1,0,0,1,0
FadeMem,Research Architectures (42),Advanced,1,1,0,0,0,1,0,0
G-Memory,Research Architectures (42),Advanced,1,1,0,0,0,0,1,0
GAM,Research Architectures (42),Modular,1,1,1,0,1,0,0,0
Generative Agents,Research Architectures (42),Advanced,1,1,0,1,1,1,0,1
HippoRAG,Research Architectures (42),Modular,0,1,1,0,0,0,0,0
HippoRAG2,Research Architectures (42),Modular,1,1,1,1,0,0,0,0
Hindsight,Research Architectures (42),Modular,1,1,1,1,0,0,1,1
ID-RAG,Research Architectures (42),Advanced,1,1,1,0,0,0,0,1
Kumiho,Research Architectures (42),Modular,1,1,1,1,1,0,1,0
LightMem,Research Architectures (42),Advanced,1,1,0,0,1,1,0,0
LightRAG,Research Architectures (42),Modular,0,1,1,1,0,0,0,0
MAGMA,Research Architectures (42),Modular,1,1,1,1,1,0,0,0
MaRS,Research Architectures (42),Advanced,1,1,0,0,0,1,0,0
Mem-alpha,Research Architectures (42),Advanced,1,1,0,0,0,1,0,0
MemAgent,Research Architectures (42),Advanced,1,0,0,0,0,1,0,0
MemoryBank,Research Architectures (42),Advanced,1,1,0,0,0,1,0,1
MemoRAG,Research Architectures (42),Advanced,1,1,0,1,0,0,0,0
MemR3,Research Architectures (42),Advanced,1,1,0,0,0,0,0,0
MemRL,Research Architectures (42),Advanced,1,0,0,0,0,1,0,0
Memory-R1,Research Architectures (42),Advanced,1,0,0,0,0,1,0,0
Oblivion,Research Architectures (42),Advanced,1,0,0,0,0,1,0,0
PersonaRAG,Research Architectures (42),Advanced,1,1,0,0,0,0,0,1
SimpleMem,Research Architectures (42),Advanced,1,1,0,1,1,1,0,0
SuperLocalMemory,Research Architectures (42),Modular,1,1,0,1,0,1,0,0
SYNAPSE,Research Architectures (42),Modular,1,1,1,1,1,1,0,0
APEX-MEM,Research Architectures (42),Modular,1,1,1,1,1,0,1,0
FLEX,Research Architectures (42),Advanced,1,1,0,0,1,0,0,0
FOREVER,Research Architectures (42),Advanced,1,0,0,0,0,1,0,0
H-EPM,Research Architectures (42),Modular,1,1,1,0,1,0,0,0
MemEvolve,Research Architectures (42),Modular,1,1,0,1,1,0,0,0
MemoBrain,Research Architectures (42),Advanced,1,0,0,0,1,0,0,0
Memory Worth,Research Architectures (42),Advanced,1,0,0,0,0,1,0,0
MemP,Research Architectures (42),Advanced,1,0,0,0,1,0,0,0
Nemori,Research Architectures (42),Advanced,1,1,1,0,1,0,0,0
ReasoningBank,Research Architectures (42),Advanced,1,1,0,0,1,0,0,0
RMM,Research Architectures (42),Advanced,1,1,0,0,1,0,0,0
Sophia,Research Architectures (42),Modular,1,1,0,0,1,0,0,0
SSGM,Research Architectures (42),Advanced,1,0,0,0,0,0,1,0
TSM,Research Architectures (42),Advanced,1,1,1,0,1,0,0,0
U-Mem,Research Architectures (42),Advanced,1,1,0,0,1,0,0,0
AtomMem,Reinforcement-Learned Memory (3),Modular,1,0,0,0,1,1,0,0
MEM1,Reinforcement-Learned Memory (3),Modular,1,0,0,0,1,1,0,0
MemSearcher,Reinforcement-Learned Memory (3),Modular,1,1,0,1,1,0,0,0
Collaborative Mem.,Multi-Agent Memory (4),Modular,1,1,1,0,0,0,0,0
Intrinsic Mem. Ag.,Multi-Agent Memory (4),Advanced,1,1,0,0,1,0,0,0
LEGOMem,Multi-Agent Memory (4),Advanced,1,0,0,0,1,0,0,0
LLMA-Mem,Multi-Agent Memory (4),Modular,1,1,0,0,1,0,0,0
3DLLM-Mem,Embodied and Multimodal Memory (3),Modular,1,1,0,1,0,0,0,0
MemVerse,Embodied and Multimodal Memory (3),Modular,1,1,1,1,0,0,0,1
RoboMemory,Embodied and Multimodal Memory (3),Modular,1,1,1,0,0,0,0,0
